,cons,age,age_sq,income,education,kids,LFP
0,1.0,32,1024,16310,12,1,1
1,1.0,30,900,21800,12,2,1
2,1.0,35,1225,21040,12,4,1
3,1.0,34,1156,7300,12,3,1
4,1.0,31,961,27300,14,3,1
5,1.0,54,2916,19495,12,0,1
6,1.0,37,1369,21152,16,2,1
7,1.0,54,2916,18900,12,0,1
8,1.0,48,2304,20405,12,2,1
9,1.0,39,1521,20425,12,2,1
10,1.0,33,1089,32300,12,1,1
11,1.0,42,1764,28700,11,1,1
12,1.0,30,900,15500,12,3,1
13,1.0,43,1849,16860,12,2,1
14,1.0,43,1849,31431,10,1,1
15,1.0,35,1225,19180,11,3,1
16,1.0,43,1849,18600,12,2,1
17,1.0,39,1521,19151,12,5,1
18,1.0,45,2025,18100,12,0,1
19,1.0,35,1225,20300,12,4,1
20,1.0,42,1764,30419,16,2,1
21,1.0,30,900,14090,12,0,1
22,1.0,48,2304,22679,13,0,1
23,1.0,45,2025,12160,12,0,1
24,1.0,31,961,12487,12,2,1
25,1.0,43,1849,29850,17,2,1
26,1.0,59,3481,18100,12,0,1
27,1.0,32,1024,26000,12,3,1
28,1.0,31,961,26100,17,1,1
29,1.0,42,1764,17730,12,0,1
30,1.0,50,2500,6719,11,0,1
31,1.0,59,3481,18550,16,0,1
32,1.0,36,1296,24600,13,2,1
33,1.0,51,2601,23100,12,1,1
34,1.0,45,2025,24656,16,3,1
35,1.0,42,1764,15897,11,1,1
36,1.0,46,2116,20320,12,0,1
37,1.0,46,2116,21384,10,1,1
38,1.0,51,2601,25561,14,0,1
39,1.0,30,900,36550,17,0,1
40,1.0,30,900,15810,12,3,1
41,1.0,57,3249,25500,12,0,1
42,1.0,31,961,24000,16,3,1
43,1.0,48,2304,22172,12,2,1
44,1.0,30,900,17930,12,3,1
45,1.0,34,1156,7000,12,2,1
46,1.0,48,2304,25300,16,2,1
47,1.0,45,2025,16212,12,0,1
48,1.0,51,2601,22650,12,0,1
49,1.0,30,900,6985,12,2,1
50,1.0,46,2116,30000,12,1,1
51,1.0,58,3364,18500,12,0,1
52,1.0,37,1369,16658,12,8,1
53,1.0,52,2704,10300,8,0,1
54,1.0,52,2704,11000,10,0,1
55,1.0,31,961,19900,16,0,1
56,1.0,55,3025,32500,14,0,1
57,1.0,34,1156,37300,17,0,1
58,1.0,55,3025,30018,14,0,1
59,1.0,39,1521,12807,12,2,1
60,1.0,40,1600,39500,14,3,1
61,1.0,43,1849,22050,12,4,1
62,1.0,48,2304,15500,8,0,1
63,1.0,47,2209,13810,12,0,1
64,1.0,41,1681,11950,12,4,1
65,1.0,36,1296,19175,8,0,1
66,1.0,46,2116,17900,17,2,1
67,1.0,34,1156,15850,12,0,1
68,1.0,41,1681,27017,12,3,1
69,1.0,51,2601,18900,12,1,1
70,1.0,33,1089,21800,12,0,1
71,1.0,52,2704,33552,12,0,1
72,1.0,58,3364,22650,9,0,1
73,1.0,34,1156,15200,10,6,1
74,1.0,31,961,13120,12,1,1
75,1.0,48,2304,21660,12,1,1
76,1.0,32,1024,18190,12,2,1
77,1.0,49,2401,9600,17,0,1
78,1.0,32,1024,13755,15,4,1
79,1.0,58,3364,35350,12,0,1
80,1.0,50,2500,12405,6,0,1
81,1.0,60,3600,12180,14,0,1
82,1.0,50,2500,22962,12,1,1
83,1.0,56,3136,25700,14,0,1
84,1.0,51,2601,3305,9,0,1
85,1.0,54,2916,32950,17,1,1
86,1.0,59,3481,17000,13,0,1
87,1.0,46,2116,13250,9,2,1
88,1.0,46,2116,50750,15,1,1
89,1.0,39,1521,15632,12,4,1
90,1.0,44,1936,28316,12,2,1
91,1.0,33,1089,17290,12,2,1
92,1.0,33,1089,33600,12,3,1
